run	bait	prey	mean	omega
ARID1B-1	ARID1B	Q9H3K6	4.54270088508544	0.1
ARID1B-1	ARID1B	Q9HB71	4.93782108948426	0.1
ARID1B-1	ARID1B	Q9NQ29	3.64144629714073	0.1
ARID1B-1	ARID1B	Q9NP64	4.22672534128474	0.1
ARID1B-1	ARID1B	Q9HD42	0.857132059210808	0.1
ARID1B-1	ARID1B	Q9HCC0	14.3694892042855	0.6248729140097
ARID1B-1	ARID1B	P06454	0.950932445464121	0.1
ARID1B-1	ARID1B	Q9H1B7	5.78189502369526	0.21913119055697
ARID1B-1	ARID1B	Q9BWE0	1.07673344932232	0.1
ARID1B-1	ARID1B	Q9BU76	6.39608141435223	0.1
ARID1B-1	ARID1B	Q9BTE7	0.311378827848709	0.1
ARID1B-1	ARID1B	Q9BSD7	4.76422867437472	0.1
ARID1B-1	ARID1B	Q9BRX2	4.44982022588894	0.1
ARID1B-1	ARID1B	Q9BWS9	0.433336690732658	0.1
ARID1B-1	ARID1B	Q9H0D6	5.56314814689488	0.1
ARID1B-1	ARID1B	Q9GZT9	0.174700709307871	0.1
ARID1B-1	ARID1B	Q9BYB4	1.95665253378961	0.1
ARID1B-1	ARID1B	Q9BY42	0.462838333513704	0.154845745271483
ARID1B-1	ARID1B	Q8WVK2	6.22909873961037	0.1
ARID1B-1	ARID1B	P06753	1.73425972677349	0.1
ARID1B-1	ARID1B	P07910	2.65889447096011	0.21913119055697
