symbol,pvalue,gene,heat
ACSL5,0.45977780135164,9606.ENSP00000348429,0.337452000842335
ACSS1,1,9606.ENSP00000316924,0
ACTB,0.105735606261499,9606.ENSP00000349960,0.975778740233457
ACTBL2,1,9606.ENSP00000416706,0
ACTG1,0.267458027353198,9606.ENSP00000458162,0.572744362873168
ACTL6A,0.336203813354454,9606.ENSP00000397552,0.473397364931632
ACTL9,0.949124444829347,9606.ENSP00000316674,0.0226768411454997
ACTN1,0.0896451883244765,9606.ENSP00000377941,1.0474730160874
ACTN3,0.503556706752748,9606.ENSP00000422007,0.297951615392239
ACTN4,0.85203933804219,9606.ENSP00000252699,0.0695403537071718
ACTR10,0.28887731911327,9606.ENSP00000254286,0.53928655497349
ACTR1A,0.488518380997773,9606.ENSP00000358921,0.31111909086901
ACTR1B,1,9606.ENSP00000289228,0
ACTR2,0.000406421086978525,9606.ENSP00000367220,3.39102376696225
ACTR3,5.36830592867688e-05,9606.ENSP00000263238,4.27016274258751
ACTR8,1,9606.ENSP00000336842,0
ADA,0.250170086329762,9606.ENSP00000361965,0.601764621575436
ADAD2,0.162993728233467,9606.ENSP00000268624,0.7878291063077
ADAM10,0.000788120946144665,9606.ENSP00000260408,3.10340712995632
ADAM15,1.68900273767037e-07,9606.ENSP00000349436,6.77236964648928
ADAM17,9.18768494173605e-06,9606.ENSP00000309968,5.03679390577256
ADAM8,3.35265859519041e-09,9606.ENSP00000453302,8.47461066899107
ADAM9,0.262251883323388,9606.ENSP00000419446,0.581281384301161
ADAP2,0.00225342915785909,9606.ENSP00000329468,2.6471560905038
ADAR,8.6225564451814e-05,9606.ENSP00000357459,4.06436395396254
ADCY9,8.5201877952912e-07,9606.ENSP00000294016,6.06955083274975
ADD1,0.0470537242590053,9606.ENSP00000264758,1.32740599686744
ADD3,0.0026942121750806,9606.ENSP00000348381,2.56956820562928
ADGRE1,0.101006163885004,9606.ENSP00000311545,0.995652122657331
ADGRE5,0.780735204499328,9606.ENSP00000242786,0.107496237216475
ADH5,0.389581810122852,9606.ENSP00000296412,0.409401328866554
ADK,0.0471981618870496,9606.ENSP00000286621,1.32607491445607
ADNP,1,9606.ENSP00000379346,0
ADO,1,9606.ENSP00000362888,0
ADPGK,0.0163892085252248,9606.ENSP00000312250,1.78544201906081
ADPRH,0.0266032314812126,9606.ENSP00000420200,1.57506560663136
ADPRHL2,0.0531313872300355,9606.ENSP00000362273,1.27464884476249
ADRM1,0.138463120006299,9606.ENSP00000478877,0.858665886604022
ADSL,0.0709625071385265,9606.ENSP00000485525,1.14897104907835
ADSS,0.0845541805614799,9606.ENSP00000355493,1.07286491497461
ADSSL1,0.64645851170093,9606.ENSP00000333019,0.189459341963045
AEBP2,0.0244287254145732,9606.ENSP00000381840,1.61209919204654
AES,0.143035829018458,9606.ENSP00000221561,0.844555162562969
AFDN,2.08588393011411e-05,9606.ENSP00000375960,4.68070986173568
AFF4,0.392434937982301,9606.ENSP00000265343,0.406232334886714
AFG3L2,0.23591022109136,9606.ENSP00000269143,0.627253242380985
AFTPH,0.532601545700877,9606.ENSP00000238855,0.273597577498303
AGAP3,0.00151844259860701,9606.ENSP00000380413,2.81860162098603
AGFG1,0.0307308225636389,9606.ENSP00000387282,1.51242581494478
AGFG2,1,9606.ENSP00000300176,0
AGK,0.75565297538152,9606.ENSP00000347581,0.121677603278794
AGO2,0.0760483250526445,9606.ENSP00000220592,1.11891034674451
AGPAT5,0.19854215031079,9606.ENSP00000285518,0.702147278804578
AGPS,1,9606.ENSP00000264167,0
AGTPBP1,0.639065946350535,9606.ENSP00000338512,0.194454323909871
AHCTF1,0.00156036816185257,9606.ENSP00000355465,2.80677291972452
AHCY,0.0450826656849835,9606.ENSP00000217426,1.34599041254493
AHCYL1,1,9606.ENSP00000358814,0
AHCYL2,0.0342196184874812,9606.ENSP00000315931,1.46572483669163
AHSA1,0.312565432580807,9606.ENSP00000216479,0.505059053410596
AIDA,1,9606.ENSP00000339161,0
AIF1,1,9606.ENSP00000365227,0
AIFM1,0.31836223901591,9606.ENSP00000287295,0.497078449601296
AIFM2,1,9606.ENSP00000478931,0
AIM2,0.146653210408305,9606.ENSP00000357112,0.833708425371118
AIMP1,0.130559741902701,9606.ENSP00000378191,0.884190717125321
AIMP2,0.00981273111031022,9606.ENSP00000223029,2.00821010158422
AIP,1,9606.ENSP00000279146,0
AK2,0.0343327292445794,9606.ENSP00000346921,1.46429167141412
AK3,0.747090558242605,9606.ENSP00000371230,0.126626752185488
AK4,0.00597337841947485,9606.ENSP00000378743,2.22377997139324
AKAP1,0.0472691333897912,9606.ENSP00000478212,1.32542235977624
AKAP10,8.4846852540732e-05,9606.ENSP00000225737,4.07136426353541
AKAP13,0.0199394561355879,9606.ENSP00000354718,1.70028669158777
AKAP8,0.329407732551021,9606.ENSP00000269701,0.482266210373236
AKAP9,0.068307842972518,9606.ENSP00000348573,1.16552942861518
AKNA,0.0715094334705815,9606.ENSP00000303769,1.14563666261883
AKR1A1,0.000896843635605826,9606.ENSP00000361140,3.04728326945657
AKR1B1,0.00331214567770299,9606.ENSP00000285930,2.47989056994537
AKR1E2,0.632183468018295,9606.ENSP00000298375,0.199156865412456
AKR7A2,0.0056149226725921,9606.ENSP00000235835,2.25065622036384
AKT1,0.460044164865702,9606.ENSP00000451828,0.337200473455906
AKT1S1,0.251281447991482,9606.ENSP00000375711,0.59983957401126
AKT2,0.306940189335114,9606.ENSP00000375892,0.512946243325271
ALAD,0.11781990463621,9606.ENSP00000386284,0.928781333119161
ALB,1.89381843540559e-11,9606.ENSP00000295897,10.7226616601169
ALCAM,0.0056108486848361,9606.ENSP00000305988,2.25097144333126
ALDH16A1,0.483582233707787,9606.ENSP00000293350,0.315529663031293
ALDH18A1,0.096917284806386,9606.ENSP00000360268,1.01359876137442
ALDH1B1,3.47663051170066e-05,9606.ENSP00000366927,4.45884146268351
ALDH1L1,0.206542388169323,9606.ENSP00000273450,0.684990805707847
ALDH2,0.171965847141177,9606.ENSP00000261733,0.764557796527955
ALDH3A2,0.095894986336299,9606.ENSP00000345774,1.01820409839137
ALDH3B1,0.0790114773987916,9606.ENSP00000473990,1.10230981745755
ALDH3B2,0.52271215844274,9606.ENSP00000255084,0.281737397963893
ALDH4A1,0.0358424449049988,9606.ENSP00000364490,1.44560237366018
ALDH6A1,0.47876983801914,9606.ENSP00000450436,0.319873217485467
ALDH7A1,0.313567956185803,9606.ENSP00000387123,0.503668324695279
ALDH9A1,0.190605472875358,9606.ENSP00000346827,0.719864633574688
ALDOA,1.0444492153372e-06,9606.ENSP00000378669,5.9811126720408
ALDOC,0.119583993664269,9606.ENSP00000226253,0.922326946839999
ALG2,0.8295423634002,9606.ENSP00000264933,0.0811614303495054
ALG5,0.349441342247598,9606.ENSP00000239891,0.456625715129125
ALG9,0.83549043452509,9606.ENSP00000482437,0.0780585179510218
ALKBH5,0.158588143379943,9606.ENSP00000382091,0.799729285222379
ALOX5AP,1,9606.ENSP00000479870,0
ALPK3,0.402456352431558,9606.ENSP00000258888,0.3952812132489
ALS2,0.0360585353694121,9606.ENSP00000264276,1.44299191748884
ALX1,1,9606.ENSP00000315417,0
ALYREF,0.00413630089279416,9606.ENSP00000421592,2.38338787626637
AMDHD2,0.0249176726303024,9606.ENSP00000391596,1.60349252425281
AMFR,0.0939176997443345,9606.ENSP00000290649,1.02725255281469
AMPD2,0.115090113274656,9606.ENSP00000256578,0.938961982492548
AMPD3,0.479671312345134,9606.ENSP00000379802,0.319056254564671
ANAPC1,0.17492137571244,9606.ENSP00000339109,0.757157115697339
ANAPC7,0.0395895384966405,9606.ENSP00000394394,1.40241956087802
ANKFY1,0.0634091129729959,9606.ENSP00000459943,1.19784832209498
ANKIB1,1,9606.ENSP00000265742,0
ANKLE2,0.00220960889087518,9606.ENSP00000350686,2.65568459127709
ANKRD13A,0.0195344798264339,9606.ENSP00000261739,1.7091981488885
ANKRD17,0.408477612178727,9606.ENSP00000351416,0.388831741270323
ANKRD33B,0.723417409205206,9606.ENSP00000296657,0.140611044052725
ANKRD44,0.829669067689305,9606.ENSP00000282272,0.0810951012817716
ANKRD54,0.0251045768854308,9606.ENSP00000215941,1.60024709386227
ANKRD55,1,9606.ENSP00000342295,0
ANKS1,0.00694734206891213,9606.ENSP00000353518,2.15818131707734
ANKS1A,0.0865668776871355,9606.ENSP00000353518,1.06264824642752
ANKS3,0.812966191777108,9606.ENSP00000304586,0.0899275147133617
ANLN,0.535038399232993,9606.ENSP00000265748,0.271615047929141
ANO10,0.155361303689392,9606.ENSP00000292246,0.808657143108486
ANO6,0.498501556476112,9606.ENSP00000409126,0.302333481348451
ANP32A,1,9606.ENSP00000417864,0
ANP32B,1,9606.ENSP00000345848,0
ANP32E,1,9606.ENSP00000463154,0
ANPEP,0.00113072894089461,9606.ENSP00000300060,2.94664149196447
ANTXR2,0.407914761689641,9606.ENSP00000306185,0.389430578075027
ANXA1,7.34748154052056e-06,9606.ENSP00000366109,5.13386149635574
ANXA11,0.002559153461692,9606.ENSP00000398610,2.59190367051465
ANXA2,0.000211383649641128,9606.ENSP00000346032,3.67492860806573
ANXA3,1,9606.ENSP00000264908,0
ANXA4,0.00267356248943563,9606.ENSP00000377833,2.57290966063792
