Protein,Cyto - Endo,Cyto - GalT,Cyto - LAMP1,Cyto - LAMTOR1,Cyto - PM
P48509,-0.632773040731008,-1.4414345987708,-0.713062688938309,-1.17560407621724,-2.30542952871616
P49754,-0.723649248621566,0.179509641763212,-2.52778259829228,-2.19430212088754,0.0397161667811235
P49810,-0.979330832419033,-0.108383873062366,-2.00894940142334,-2.57243750276194,0.240138959821668
P50148,0.137984999196791,-1.03150661478581,-0.0682418993787312,-0.126594041156064,-2.20988506088206
P50151,-0.276483721557622,-1.2294501883518,-0.5363195230372,-0.382044746964844,-2.29834951717174
P51149,-1.76584204139875,-0.345152518521598,-2.62245984507564,-3.09447561921296,-0.78523413896122
P51151,-0.530984412169765,0.377135006413924,-1.16589514994773,-1.70891737712794,0.354349960649614
P51790,-3.00357084640874,-1.15951408741654,-2.95814531545369,-3.64692010377374,0.0938870701932001
P51795,-2.16713202839498,0.0997456467772414,-2.24737099260632,-2.88159566753731,0.00726235398663387
P51809,-1.317071619543,-0.645097720640043,-2.42031465345222,-2.49605372433398,0.406281216827335
P52799,-0.100208910450072,-1.64706633246459,0.0436447523830883,-0.350436758547134,-2.78802953980478
P54709,-0.167518485146533,-1.0440208649777,-0.227177222863789,-0.200297372962656,-2.19050490544002
P54760,-0.405301651483911,-1.69291511951003,-0.240743654174266,-0.375041612098788,-2.79830984817234
P55196,0.602142953206569,-0.0802898415238866,0.98270102381008,0.79390626563598,-1.26378585083722
P56962,0.00557100857706742,-0.0113835323486883,-0.248889543798188,-1.10998386701528,0.178228939283067
P61019,-0.833211891520721,-0.385280079644999,-1.40941057589438,-2.34505366319871,-0.146383856002321
P61106,-1.48366628636137,-0.115323077370712,-0.322280672749546,-1.61800739196952,-0.0819728759133786
P61421,-0.672146301150576,-0.147209763322598,-1.62718904896084,-1.20344831975504,0.18629551984988
P62070,-0.238262868829577,-0.951536876252388,-0.383181188856555,-0.315330230194722,-2.16810528557368
P62166,-0.866285607307499,-1.73130298696861,-0.677239163503232,-0.876119904739143,-3.12646327489611
P63000,0.117067221608534,-0.223817344643422,0.380866266200945,-0.430524242919988,-1.76221649919191
P63092,0.0878131771201898,-0.537129462372744,-0.208516164705477,-0.0590635431579657,-1.52336228901619
P63218,-0.313908597288544,-1.58279588016542,-1.49229791471729,-1.52889265677463,-3.14681705053778
P78310,-0.209993049036365,-0.958275280854432,-0.0388161720382868,-0.485103159937887,-2.8925747442334
